"section_id","Info","Estado del original"
"1","COMMON[component_info]: ","COMMON[component_select]: "
"2","COMMON[component_info]: ","COMMON[component_select]: "
"3","COMMON[component_info]: ","COMMON[component_select]: "
"4","COMMON[component_info]: ","COMMON[component_select]: "
"5","COMMON[component_info]: ","COMMON[component_select]: "
"6","COMMON[component_info]: ","COMMON[component_select]: "
"7","COMMON[component_info]: ","COMMON[component_select]: "
"8","COMMON[component_info]: ","COMMON[component_select]: "
"9","COMMON[component_info]: ","COMMON[component_select]: "
"10","COMMON[component_info]: ","COMMON[component_select]: "
"11","COMMON[component_info]: ","COMMON[component_select]: "
"12","COMMON[component_info]: ","COMMON[component_select]: "
"13","COMMON[component_info]: ","COMMON[component_select]: "
"14","COMMON[component_info]: ","COMMON[component_select]: "
"15","COMMON[component_info]: ","COMMON[component_select]: "
"16","COMMON[component_info]: ","COMMON[component_select]: "
"17","COMMON[component_info]: ","COMMON[component_select]: "
"18","COMMON[component_info]: ","COMMON[component_select]: "
"19","COMMON[component_info]: ","COMMON[component_select]: "
"20","COMMON[component_info]: ","COMMON[component_select]: "
"22","COMMON[component_info]: ","COMMON[component_select]: "
"23","COMMON[component_info]: ","COMMON[component_select]: "
"24","COMMON[component_info]: ","COMMON[component_select]: "
"25","COMMON[component_info]: ","COMMON[component_select]: "
